"age","males","females","total"
0,7544849,6844352,14389201
1,7143432,6444406,13587838
2,7114262,6377180,13491442
3,7879100,7021753,14900853
4,8502841,7532174,16035015
5,9200384,8103348,17303732
6,8485773,7433104,15918877
7,8242721,7174409,15417130
8,8637994,7478966,16116960
9,8900872,7661762,16562634
10,9066241,7763420,16829661
11,8733464,7436957,16170421
12,8781801,7461521,16243322
13,8770165,7458760,16228925
14,8635306,7350915,15986221
15,8286200,7061261,15347461
16,8122209,6929548,15051757
17,8093595,6914155,15007750
18,7967597,6817473,14785070
19,7966109,6827418,14793527
20,8082640,6939738,15022378
21,8288976,7130424,15419400
22,8551221,7388992,15940213
23,8864300,7713079,16577379
24,9197536,8058078,17255614
25,9525012,8402754,17927766
26,10060167,8936514,18996681
27,10495562,9386029,19881591
28,10613666,9556062,20169728
29,10592113,9600744,20192857
30,10836088,9889873,20725961
31,11369522,10426750,21796272
32,14954531,14576330,29530861
33,12942159,12998159,25940318
34,12572175,11824781,24396956
35,13245467,12541768,25787235
36,11149531,10555642,21705173
37,10001869,9448334,19450203
38,9940391,9532448,19472839
39,10129947,9820714,19950661
40,12086833,11492149,23578982
41,9123319,8625248,17748567
42,9420003,9011845,18431848
43,9412082,9063604,18475686
44,9150842,8855104,18005946
45,9372598,9074634,18447232
46,9864226,9584900,19449126
47,10390387,10146317,20536704
48,11231277,11023366,22254643
49,11729821,11500206,23230027
50,11895467,11453077,23348544
51,12688844,12128831,24817675
52,12513105,12275429,24788534
53,12998504,12715240,25713744
54,11740213,11379127,23119340
55,10791099,10551681,21342780
56,11679230,11570294,23249524
57,11272291,11219811,22492102
58,11505466,11552064,23057530
59,12294811,12188666,24483477
60,7095781,7216607,14312388
61,5032292,5204510,10236802
62,6378004,6329688,12707692
63,6300172,6211004,12511176
64,8257460,8159017,16416477
65,7727179,7870104,15597283
66,7236048,7511922,14747970
67,7808358,8108224,15916582
68,7177840,7617611,14795451
69,6584889,7074055,13658944
70,6259555,6800792,13060347
71,5173050,5713354,10886404
72,5327477,5783060,11110537
73,4325196,4798883,9124079
74,3961871,4450790,8412661
75,3623336,4155130,7778466
76,3100576,3706579,6807155
77,2777912,3354681,6132593
78,2490517,3037077,5527594
79,2211293,2763088,4974381
80,2058890,2671640,4730530
81,1812149,2426058,4238207
82,1549241,2176659,3725900
83,1332945,1930495,3263440
84,1223433,1824850,3048283
85,1033162,1629998,2663160
86,860213,1440847,2301060
87,693979,1226679,1920658
88,586106,1059328,1645434
89,479975,900317,1380292
90,350230,686720,1036950
91,262497,531257,793754
92,201574,432444,634018
93,138441,313823,452264
94,108615,253280,361895
95,71078,170913,241991
96,47489,119239,166728
97,33738,90598,124336
98,21898,60543,82441
99,13434,38473,51907
100,19344,62290,81634
